Conductor Name / Stranding Type,1s Fault Rating (kA),Rdc,Alpha[20],A[c],C[20],Diameter,Area,Mass,Skin,Magnetic,T[max],Eqv Al,Density,Limited,User Specified SD
54/7/3.50 AACSR/GZ,47.9,0.07,0.00369,0.00036,0.77955,31.5,586.9,1960,1.015,1.06,160,438,0.003339581,1090,882
7/1.00 HDBC,0.96,3.25,0.00381,0.00029,0.386,3,5.5,49,1.015,1,200,9,0.008909091,69,60
7/1.25 HDBC,1.5,2.09,0.00381,0.00029,0.386,3.8,8.6,77,1.015,1,200,14,0.008953488,92,80
7/1.75 HDBC,2.94,1.06,0.00381,0.00029,0.386,5.3,16.8,151,1.015,1,200,27,0.008988095,144,123
7/2.00 HDBC,3.84,0.815,0.00381,0.00029,0.386,6,22,197,1.015,1,200,35,0.008954545,171,145
7/2.75 HDBC,7.24,0.433,0.00381,0.00029,0.386,8.3,41.6,373,1.015,1,200,65,0.008966346,260,219
19/1.75 HDBC,7.98,0.395,0.00381,0.00029,0.386,8.8,45.7,413,1.015,1,200,72,0.009037199,277,233
19/2.00 HDBC,10.4,0.303,0.00381,0.00029,0.386,10,59.7,538,1.015,1,200,94,0.009011725,330,276
7/3.50 HDBC,11.7,0.268,0.00381,0.00029,0.386,10.5,67.4,603,1.015,1,200,106,0.008946588,357,298
Cu 7/3.75 HDBC,13.43,0.233,0.00381,0.00029,0.383,11.3,77.3,696,1.005,1,200,121.4,0.009003881,394,328
37/1.75 HDBC,15.55,0.203,0.00381,0.00029,0.386,12.3,89,806,1.015,1,200,139,0.00905618,432,359
19/2.75 HDBC,19.7,0.16,0.00381,0.00029,0.386,13.8,112.9,1020,1.015,1,200,177,0.009034544,509,422
19/3.00 HDBC,23.44,0.134,0.00381,0.00029,0.386,15,134.3,1210,1.015,1,200,211,0.00900968,576,476
37/2.50 HDBC,31.66,0.0996,0.00381,0.00029,0.386,17.5,181.6,1640,1.015,1,200,284,0.009030837,711,586
37/2.75 HDBC,38.36,0.0823,0.00381,0.00029,0.386,19.3,219.8,1990,1.015,1,200,344,0.009053685,813,669
37/3.00 HDBC,45.69,0.0691,0.00381,0.00029,0.386,21,261.5,2370,1.015,1,200,409,0.009063098,918,753
61/2.75 HDBC,63.29,0.05,0.00381,0.00029,0.386,24.8,362.3,3290,1.015,1,200,566,0.009080872,1155,943
7/.036 HDBC,0.8,3.94,0.00381,0.00029,0.386,2.74,4.6,41.2,1.015,1,200,7.3,0.008956522,61,53
7/.044 HDBC,1.19,2.64,0.00381,0.00029,0.386,3.35,6.9,61.6,1.015,1,200,10.9,0.008966521,79,68
7/.048 HDBC,1.46,2.09,0.00381,0.00029,0.386,3.66,8.2,73.3,1.015,1,200,13,0.008971848,91,79
7/.052 HDBC,1.66,1.89,0.00381,0.00029,0.386,3.96,9.6,86,1.015,1,200,15.2,0.008967675,98,85
7/.064 HDBC,2.54,1.23,0.00381,0.00029,0.383,4.88,14.5,131.5,1.015,1,200,23,0.00905,130,112
7/.080 HDBC,3.92,0.797,0.00381,0.00029,0.383,6.1,22.7,203,1.015,1,200,36,0.008942731,174,148
19/.052 HDBC,4.54,0.69,0.00381,0.00029,0.383,6.6,26,235,1.015,1,200,41,0.009038462,191,162
19/.064 HDBC,6.81,0.463,0.00381,0.00029,0.383,8.1,39.4,356,1.015,1,200,62,0.009035533,249,210
7/.104 HDBC,6.63,0.472,0.00381,0.00029,0.383,7.9,38.4,344,1.015,1,200,60,0.008958333,245,207
19/.072 HDBC,8.61,0.365,0.00381,0.00029,0.383,9.14,49.9,448,1.015,1,200,78,0.008977956,292,245
7/.136 HDBC,11.33,0.28,0.00381,0.00029,0.386,10.4,65.6,591,1.015,1,200,102,0.009009146,350,292
19/.083 HDBC,11.51,0.275,0.00381,0.00029,0.386,10.54,66.3,599,1.015,1,200,104,0.009034691,352,294
7/.136 HDBC,11.36,0.278,0.00381,0.00029,0.383,10.36,65.6,593.7,1.005,1,200,103,0.00905,350,293
37/.064 HDBC,13.28,0.24,0.00381,0.00029,0.386,11.4,76.8,695,1.015,1,200,120,0.009049479,389,323
37/.072 HDBC,16.78,0.19,0.00381,0.00029,0.386,12.8,97.2,879,1.015,1,200,152,0.00904321,456,379
19/.101 HDBC,17.04,0.186,0.00381,0.00029,0.386,12.8,98.2,887,1.015,1,200,153,0.009032587,458,381
19/.116 HDBC,22.47,0.141,0.00381,0.00029,0.386,14.73,129.6,1170,1.015,1,200,202,0.009027778,557,461
37/.083 HDBC,22.54,0.14,0.00381,0.00029,0.386,14.8,129.2,1168,1.015,1,200,202,0.009040248,558,462
37/.093 HDBC,28.48,0.11,0.00381,0.00029,0.386,16.5,162.2,1466,1.015,1,200,253,0.009038224,651,538
37/.103 HDBC,34.88,0.09,0.00381,0.00029,0.386,18.3,198.9,1799,1.015,1,200,311,0.009044746,753,620
61/.093 HDBC,45.87,0.07,0.00381,0.00029,0.386,21.3,267.3,2420,1.015,1,200,417,0.009053498,931,764
61/.103 HDBC,54.88,0.06,0.00381,0.00029,0.386,23.6,327.9,2969,1.015,1,200,512,0.00905459,1070,875
3/2.30 HDCdCu,1.98,1.74,0.00381,0.00029,0.386,4.96,12.5,112,1.015,1,200,16,0.00896,110,94
7/2.00 HDCdCu,3.49,0.99,0.00381,0.00029,0.386,6,22,198,1.015,1,200,29,0.009,155,132
7/2.30 HDCdCu,4.61,0.75,0.00381,0.00029,0.386,6.9,29.1,262,1.015,1,200,38,0.009003436,186,158
7/2.60 HDCdCu,5.93,0.58,0.00381,0.00029,0.386,7.8,37.2,335,1.015,1,200,48,0.009005376,219,185
7/2.90 HDCdCu,7.35,0.47,0.00381,0.00029,0.386,8.7,46.2,417,1.015,1,200,60,0.009025974,253,213
7/3.20 HDCdCu,8.9,0.39,0.00381,0.00029,0.386,9.6,56.3,508,1.015,1,200,73,0.009023091,289,242
7/3.70 HDCdCu,11.94,0.29,0.00381,0.00029,0.386,11.1,75.3,679,1.015,1,200,98,0.009017264,350,291
7/4.30 HDCdCu,16.3,0.21,0.00381,0.00029,0.386,12.9,101.7,917,1.015,1,200,132,0.009016716,429,356
19/2.90 HDCdCu,20.18,0.17,0.00381,0.00029,0.386,14.5,125.5,1137,1.015,1,200,162,0.009059761,498,413
19/3.20 HDCdCu,24.53,0.14,0.00381,0.00029,0.386,16,152.8,1384,1.015,1,200,197,0.009057592,572,473
19/3.50 HDCdCu,28.98,0.12,0.00381,0.00029,0.386,17.5,182.8,1656,1.015,1,200,237,0.009059081,649,535
19/3.70 HDCdCu,32,0.11,0.00381,0.00029,0.386,18.5,204.3,1850,1.015,1,200,264,0.009055311,702,578
19/4.00 HDCdCu,38.26,0.09,0.00381,0.00029,0.386,20,238.8,2164,1.015,1,200,310,0.009061977,783,643
7/.113 HDCdCu,7.51,0.44,0.00381,0.00029,0.386,8.6,45.3,408,1.015,1,200,62,0.009009661,260,219
7/.127 HDCdCu,9.09,0.38,0.00381,0.00029,0.386,9.7,57.2,516,1.015,1,200,90,0.009020979,290,243
3/2.00 SC/GZ,0.66,18,0.0044,0.0001,0.464,4.3,9.4,74,1.015,1,400,1.6,0.00787234,58,28
3/2.75 SC/GZ,1.23,9.7,0.0044,0.0001,0.464,5.9,17.8,140,1.015,1,400,2.9,0.007865169,89,42
7/2 SWG,1.52,7.8,0.0044,0.0001,0.464,6,22,173,1.015,1,400,3.6,0.007863636,100,46
7/2.75 SC/GZ,2.86,4.2,0.0044,0.0001,0.464,8.3,41.6,328,1.015,1,400,6.8,0.007884615,154,69
7/3.75 SC/GZ,5.38,2.2,0.0044,0.0001,0.464,11.3,77.3,609,1.015,1,400,12.7,0.007878396,242,105
7/4.00 SC/GZ,6,2,0.0044,0.0001,0.461,12,88,693,1.015,1,400,14.4,0.007875,261,112
19/2.00 SC/GZ,4.13,2.9,0.0044,0.0001,0.464,10,59.7,473,1.015,1,400,9.8,0.007922948,200,88
19/2.75 SC/GZ,7.65,1.6,0.0044,0.0001,0.464,13.8,113,894,1.015,1,400,18.4,0.007911504,310,132
19/3.25 SC/GZ,10.9,1.1,0.0044,0.0001,0.464,16.3,158,1250,1.015,1,400,25.8,0.007911392,402,169
3/.080 SC/GZ,0.68,17.582,0.0044,0.0001,0.464,4.4,9.8,77.2,1.015,1,400,1.6,0.00788,59,28
7/.064 SC/GZ,1.01,11.846,0.0044,0.0001,0.464,4.9,14.5,114.5,1.005,1,400,2.4,0.00788,76,36
3/12 SWG,1.14,10.401,0.0044,0.0001,0.464,5.7,16.4,129.5,1.015,1,400,2.7,0.00788,85,40
7/.080 SC/GZ,1.57,7.585,0.0044,0.0001,0.464,6.1,22.7,178.9,1.005,1,400,3.7,0.00788,102,47
7/.104 SC/GZ,2.66,4.487,0.0044,0.0001,0.464,7.9,38.4,302.6,1.005,1,400,6.3,0.00788,147,66
7/.128 SC/GZ,4.02,2.963,0.0044,0.0001,0.464,9.75,58.1,457.8,1.005,1,400,9.5,0.00788,197,87
19/.080 SC/GZ,4.25,2.808,0.0044,0.0001,0.464,10.2,61.5,484.6,1.005,1,400,10.1,0.00788,206,90
7/.144 SC/GZ,5.09,2.341,0.0044,0.0001,0.464,11,73.5,579.2,1.005,1,400,12.1,0.00788,233,101
7/.160 SC/GZ,6.28,1.896,0.0044,0.0001,0.464,12.2,90.8,715.5,1.005,1,400,14.9,0.00788,271,116
19/.104 SC/GZ,7.19,1.661,0.0044,0.0001,0.464,13.2,104.1,820.3,1.005,1,400,17,0.00788,300,128
19/.128 SC/GZ,10.88,1.097,0.0044,0.0001,0.464,16.3,157.4,1240.3,1.005,1,400,25.8,0.00788,405,170
3/2.75 SC/AC,1.67,4.8,0.0036,0.0001,0.464,5.9,17.8,118,1.015,1,400,5.9,0.006621773,134,60
3/3.00 SC/AC,2,4.02,0.0036,0.0001,0.464,6.5,21.2,141,1.015,1,400,7,0.006647808,152,67
3/3.25 SC/AC,2.35,3.42,0.0036,0.0001,0.464,7,24.9,165,1.015,1,400,8.2,0.006629168,170,75
3/3.75 SC/AC,3.12,2.58,0.0036,0.0001,0.464,8.1,33.1,220,1.015,1,400,11,0.006642512,206,89
7/2.75 SC/AC,3.92,2.06,0.0036,0.0001,0.464,8.3,41.6,277,1.015,1,400,13.7,0.006661857,233,101
7/3.00 SC/AC,4.66,1.73,0.0036,0.0001,0.464,9,49.5,330,1.015,1,400,16.3,0.006669361,263,113
7/3.25 SC/AC,5.48,1.47,0.0036,0.0001,0.464,9.8,58.1,387,1.015,1,400,19.1,0.006664371,296,125
7/3.75 SC/AC,7.27,1.11,0.0036,0.0001,0.464,11.3,77.3,515,1.015,1,400,25.4,0.006664079,362,150
7/4.25 SC/AC,9.35,0.864,0.0036,0.0001,0.464,12.8,99.3,662,1.015,1,400,32.7,0.006664653,433,177
19/2.75 SC/AC,10.62,0.764,0.0036,0.0001,0.464,13.8,112.9,755,1.015,1,400,37,0.006687334,476,194
19/3.00 SC/AC,12.64,0.642,0.0036,0.0001,0.464,15,134.3,899,1.015,1,400,44,0.006693969,539,219
19/3.25 SC/AC,14.89,0.545,0.0036,0.0001,0.464,16.3,157.6,1060,1.015,1,400,51.6,0.006725888,606,245
19/3.75 SC/AC,19.78,0.411,0.0036,0.0001,0.464,18.8,209.8,1410,1.015,1,400,68.7,0.006720686,743,298
19/4.25 SC/AC,25.33,0.32,0.0036,0.0001,0.464,21.3,269.6,1800,1.015,1,400,88.3,0.006676558,890,354
Cod),0.88,3.42,0.00415,0.00034,0.7572,3.7,9.8,34,1,1,150,8,0.003483607,71,62
Minnow,0.96,3.42,0.00421,0.00028,0.68711,3.9,11.2,45,1,1,150,8,0.004032258,72,63
Sardine,1.03,3.42,0.00425,0.00024,0.63547,4.2,12.8,57,1,1,150,8,0.004453125,74,64
Ray,1.11,2.71,0.00415,0.00034,0.75701,4.1,12.3,43,1,1,150,11,0.003495935,82,71
Cisco,1.2,2.71,0.00421,0.00028,0.68568,4.4,14.1,56,1,1,150,11,0.0039801,84,73
Halibut,1.31,2.71,0.00425,0.00024,0.63556,4.7,16.2,72,1,1,150,11,0.004444444,86,74
Bass,1.39,2.15,0.00415,0.00034,0.75707,4.6,15.5,54,1,1,150,13,0.003481625,96,83
Mullet,1.51,2.15,0.00421,0.00028,0.68268,4.9,17.7,71,1,1,150,13,0.004002255,98,84
Herring,1.65,2.15,0.00426,0.00024,0.63457,5.3,20.4,91,1,1,150,13,0.004460784,100,86
Tuna,1.75,1.71,0.00415,0.00034,0.75613,5.2,19.6,68,1,1,150,17,0.003476483,112,96
Darter,1.91,1.71,0.00421,0.00028,0.68387,5.5,22.4,90,1,1,150,17,0.004023245,114,98
Goldeye,2.07,1.71,0.00425,0.00024,0.63328,5.9,25.7,115,1,1,150,17,0.004474708,116,100
Pike,2.2,1.35,0.00415,0.00034,0.75648,5.8,24.7,85,1,1,150,21,0.00344548,130,112
Pollock,2.41,1.35,0.00421,0.00028,0.68347,6.2,28.2,113,1,1,150,21,0.004007092,133,114
Flounder,2.62,1.35,0.00425,0.00024,0.6335,6.7,32.4,145,1,1,150,21,0.004475309,136,116
Chub,2.79,1.07,0.00415,0.00034,0.75645,6.6,31.1,108,1,1,150,27,0.003471553,152,130
Whiting,3.03,1.07,0.00421,0.00028,0.68487,6.9,35.6,142,1,1,150,27,0.003988764,154,132
Grayling,3.31,1.07,0.00425,0.00024,0.63554,7.5,40.8,183,1,1,150,27,0.004485294,158,135
Carp,3.51,0.85,0.00415,0.00034,0.75691,7.3,39.2,136,1,1,150,34,0.003466735,177,150
Haddock,3.83,0.85,0.00421,0.00028,0.6841,7.8,44.9,180,1,1,150,34,0.004008909,180,153
Pickerel,4.17,0.85,0.00425,0.00024,0.63386,8.4,51.5,231,1,1,150,34,0.004485437,184,156
Shad,4.4,0.68,0.00415,0.00034,0.7565,8.3,49.5,171,1,1,150,42,0.003455942,207,175
Lamprey,4.8,0.68,0.00421,0.00028,0.68448,8.8,56.6,226,1,1,150,42,0.003992933,210,178
Sole,5.55,0.54,0.00415,0.00034,0.75648,9.2,62.4,216,1,1,150,53,0.003460984,240,203
Sculpin,6.06,0.54,0.00421,0.00028,0.68489,9.9,71.4,286,1,1,150,53,0.004005602,245,207
Hake,6.98,0.43,0.00415,0.00034,0.75667,10.4,78.7,272,1,1,150,67,0.003457041,280,236
Cusk,8.81,0.34,0.00415,0.00034,0.75668,11.7,99.2,343,1,1,150,85,0.003458707,327,274
Scup,11.1,0.27,0.00415,0.00034,0.75665,13.1,125.1,432,1,1,150,107,0.003453513,384,320
