Conductor Name / Stranding Type,1s Fault Rating (kA),Rdc,Alpha[20],A[c],C[20],Diameter,Area,Mass,Skin,Magnetic,T[max],Eqv Al,Density,Limited,User Specified SD
Nitrogen,23.92,0.114,0.00368,0.00045,0.86,21,262,721,1.012,1,160,248,0.002751908,720,589
Nobelium,28.03,0.0973,0.00368,0.00045,0.86,22.8,307,845,1.012,1,160,290.2,0.002752443,806,658
Oxygen,30.75,0.0884,0.00368,0.00045,0.86,23.8,337,924,1.005,1,160,320,0.00274184,863,704
Phosphorus,37.23,0.0731,0.00368,0.00045,0.86,26.3,409,1120,1.012,1,160,387,0.002738386,985,801
Selenium,46.25,0.0592,0.00368,0.00045,0.86,29.3,506,1400,1.025,1,160,478,0.002766798,1136,922
Silicon,53.55,0.0511,0.00368,0.00045,0.86,31.5,587,1620,1.025,1,160,553.9,0.002759796,1260,1020
Sulphur,61.56,0.0444,0.00368,0.00045,0.86,33.8,673,1860,1.025,1,160,637,0.002763744,1391,1124
Xenon,131.35,0.021,0.00368,0.00045,0.86,49.5,1447.3,4004.7,1.116,1,160,1360,0.002767029,2281,1823
Totara,46.44,0.06,0.00368,0.00045,0.8967,28.98,498.1,1371.7,1.012,1,160,471,0.002754018,1131,918
Sorbus,61.73,0.045,0.00368,0.00045,0.8967,33.37,658.7,1817.9,1.025,1,160,621.7,0.002759757,1367,1105
Araucaria,77.06,0.036,0.00368,0.00045,0.8967,37.26,821.1,2266.2,1.025,1,160,775,0.002759801,1596,1286
Redwood,93.22,0.03,0.00368,0.00045,0.8967,41.15,1001.5,2763.8,1.025,1,160,945.1,0.00275978,1836,1475
Agate,1.83,1.97,0.0036,0.00045,0.895,5.25,16.8,46.1,1.005,1,220,14,0.00273753,107,91
Amethyst,3.03,1.19,0.0036,0.00045,0.895,6.75,27.8,75.9,1.005,1,220,24,0.002727273,149,126
Diamond,3.74,0.967,0.0036,0.00045,0.895,7.5,34.4,94.3,1.005,1,220,29,0.00274447,171,144
Emerald,5.38,0.671,0.0036,0.00045,0.895,9,49.5,135,1.005,1,220,42,0.002728375,217,182
Garnet,8.4,0.43,0.0036,0.00045,0.895,11.3,77.3,211,1.005,1,220,66,0.002729272,292,242
Jade,12.11,0.298,0.0036,0.00045,0.895,13.5,111.3,304,1.005,1,220,95,0.002731357,375,310
Jasper,13.49,0.268,0.0036,0.00045,0.895,14.3,124,339,1.005,1,220,106,0.002733871,405,334
Opal,17.14,0.212,0.0036,0.00045,0.895,16.3,157.6,433,1.005,1,220,134,0.002747462,480,395
Pearl,22.83,0.159,0.0036,0.00045,0.895,18.8,209.8,576,1.005,1,220,178,0.002745472,587,481
Ruby,28.46,0.128,0.0036,0.00045,0.895,21,261.5,721,1.012,1,220,221,0.00275717,682,557
Rutile,36.62,0.0991,0.0036,0.00045,0.895,23.8,336.7,924,1.005,1,220,285,0.002744283,818,666
Sapphire,44.35,0.0819,0.0036,0.00045,0.895,26.3,408.7,1120,1.012,1,220,346,0.002740396,934,758
Spinel,55.15,0.0662,0.0036,0.00045,0.895,29.3,506,1400,1.025,1,220,427,0.002766798,1078,873
Tantaleu,63.87,0.0571,0.0036,0.00045,0.895,31.5,586.9,1619.7,1.025,1,220,494.8,0.002759807,1196,966
Topaz,73.29,0.0498,0.0036,0.00045,0.895,33.8,673.7,1860,1.025,1,220,569,0.002760873,1317,1063
Zircon,157.47,0.0232,0.0036,0.00045,0.895,49.5,1447,4000,1.116,1,220,1220,0.00276434,2162,1725
Acacia,2.62,1.37,0.0036,0.00045,0.897,6.2,23.9,65,1.015,1,220,20.3,0.002719665,134,114
Box,2.09,1.72,0.0036,0.00045,0.897,5.6,18.9,52,1.015,1,220,16.1,0.002751323,116,99
Almond,3.31,1.08,0.0036,0.00045,0.897,7,30,82,1.015,1,220,25.5,0.002733333,157,132
Cedar,3.9,0.92,0.0036,0.00045,0.897,7.6,35.5,97,1.015,1,220,30.2,0.002732394,175,147
Fir,5.25,0.68,0.0036,0.00045,0.897,8.8,47.7,130,1.015,1,220,40.6,0.002725367,213,178
Hazel,6.62,0.54,0.0036,0.00045,0.897,9.9,59.9,164,1.015,1,220,51,0.002737896,248,207
Pine,7.82,0.46,0.0036,0.00045,0.897,10.8,71.5,195,1.015,1,220,60.9,0.002727273,279,231
Willow,9.9,0.36,0.0036,0.00045,0.897,12.1,89.7,245,1.015,1,220,76.3,0.002731327,324,268
Oak,13.17,0.27,0.0036,0.00045,0.897,13.9,118.8,325,1.015,1,220,101,0.00273569,394,325
Mulberry,16.45,0.22,0.0036,0.00045,0.897,15.9,150.4,413,1.015,1,220,127.4,0.002746011,466,384
Ash,19.93,0.18,0.0036,0.00045,0.897,17.4,180.7,496,1.015,1,220,153,0.002744881,529,434
Elm,22.84,0.16,0.0036,0.00045,0.897,18.8,210.8,579,1.015,1,220,178.5,0.002746679,590,483
Poplar,26.11,0.14,0.0036,0.00045,0.897,20.1,239.4,662,1.015,1,220,202.2,0.002765246,646,529
Sycamore,33.08,0.11,0.0036,0.00045,0.897,22.6,302.5,835,1.015,1,220,255.5,0.002760331,760,620
Upas,40.04,0.09,0.0036,0.00045,0.897,24.7,362.1,1001,1.015,1,220,306.1,0.00276443,862,702
Yew,52.25,0.07,0.0036,0.00045,0.897,28.4,480.1,1326,1.015,1,220,405.4,0.002761925,1048,849
Wattle,63,0.06,0.0036,0.00045,0.897,31.8,597.2,1652,1.015,1,220,503.6,0.002766242,1229,993
Karri,115.8,0.03,0.0036,0.00045,0.897,41.4,982.6,2791,1.015,1,220,826.2,0.002840423,1767,1417
Jarrah,126.07,0.03,0.0036,0.00045,0.897,45,1195.5,3308,1.015,1,220,1004.7,0.002767043,1985,1588
Quince,1.28,3.25,0.00432,0.00017,0.5507,5.3,16.8,96,1.015,1.06,160,9,0.005714286,78,67
Raisin,2.59,1.59,0.00432,0.00017,0.55092,7.5,34.4,193,1.015,1.06,160,18,0.005610465,125,107
Sultana,4.04,0.897,0.00428,0.00021,0.59883,9,49.5,242,1.015,1.1,160,32,0.004888889,173,147
Almond,3.07,0.975,0.00415,0.00034,0.75667,7.5,34.4,119,1.015,1.07,160,29,0.003459302,160,136
Apricot,3.62,0.805,0.00415,0.00034,0.75673,8.3,41.6,137,1,1.1,160,35.1,0.003293269,181,153
Apple,4.41,0.677,0.00415,0.00034,0.75669,9,49.5,171,1.015,1.1,160,42,0.003454545,201,170
Walnut,6.32,0.573,0.00428,0.00021,0.59895,11.3,77.3,379,1.015,1.1,160,49,0.004902975,234,196
Banana,6.9,0.433,0.00415,0.00034,0.7566,11.3,77.3,268,1.015,1.1,160,65,0.003467012,270,226
Cherry,10.87,0.271,0.00413,0.00035,0.77725,14.3,120.4,404,1.015,1.13,160,105,0.003355482,369,307
Grape,15.9,0.196,0.00418,0.00031,0.72319,17.5,181.6,675,1.015,1,160,144,0.00371696,499,414
Lemon,22.92,0.136,0.00418,0.00031,0.72321,21,261.5,973,1.015,1,160,207,0.003720841,645,533
Lychee,26.9,0.116,0.00418,0.00031,0.72324,22.8,307,1142.7,1.015,1,160,243.4,0.00372215,722,595
Lime,31.13,0.1,0.00418,0.00031,0.72322,24.5,356,1320,1.015,1,160,282,0.003707865,801,658
Mango,38.85,0.0758,0.00413,0.00036,0.77961,27,431.2,1440,1.015,1.06,160,373,0.003339518,931,763
Orange,44.63,0.0646,0.00413,0.00036,0.77962,29.3,506,1620,1.015,1.06,160,438,0.003201581,1042,853
Olive,52.87,0.0557,0.00413,0.00036,0.77964,31.5,586.9,1960,1.015,1.06,160,508,0.003339581,1156,944
Pawpaw,60.77,0.0485,0.00413,0.00036,0.78133,33.8,671.7,2250,1.015,1.07,160,583,0.00334971,1269,1034
Peach,97.26,0.0303,0.00413,0.00036,0.78133,42.89,1078.1,3600,1.015,1.07,160,936,0.003339152,1770,1432
Wagtail,1.17,3.54,0.00432,0.00017,0.55101,5,15.5,87,1.015,1.06,160,8.1,0.005612903,74,64
Budgerigar,1.59,2.29,0.00428,0.00021,0.59915,5.6,19.4,96,1.015,1.1,160,12.4,0.004948454,93,80
Kookaburra,2.32,1.78,0.00432,0.00017,0.55091,7.1,30.7,173,1.015,1.06,160,16,0.005647458,116,99
Rosella,2.51,1.45,0.00428,0.00021,0.59887,7.1,30.7,151,1.015,1.1,160,19.6,0.004912973,126,108
Galah,4.04,0.9,0.00428,0.00021,0.59887,9,49.4,243,1.015,1.1,160,31.6,0.004911318,173,147
Kiwi,6.03,0.6,0.00428,0.00021,0.59881,11,73.6,361,1.015,1.1,160,47,0.00491448,226,190
Petrel,6.85,0.507,0.00426,0.00023,0.62439,11.7,81.7,377,1.015,1.13,160,55.8,0.004615008,248,208
Cockatoo,11.24,0.31,0.00426,0.00023,0.62447,15,134.1,621,1.015,1.13,160,91.6,0.004630872,349,291
